Run,simSeconds,simTicks,simInsts,board.cache_hierarchy.l1dcaches.overallMissLatency::total,board.cache_hierarchy.l1dcaches.overallMissRate::total,board.cache_hierarchy.l1dcaches.overallAvgMissLatency::total,board.cache_hierarchy.l1icaches.overallMissLatency::total,board.cache_hierarchy.l1icaches.overallMissRate::total,board.cache_hierarchy.l1icaches.overallAvgMissLatency::total,board.cache_hierarchy.l2cache.overallMissLatency::total,board.cache_hierarchy.l2cache.overallMissRate::total,board.cache_hierarchy.l2cache.overallAvgMissLatency::total,board.processor.cores.core.ipc,board.processor.cores.core.numIssuedDist::mean,board.processor.cores.core.commit.branchMispredicts,board.processor.cores.core.commit.numCommittedDist::mean,board.processor.cores.core.fetch.nisnDist::mean,board.processor.cores.core.iew.iqFullEvents,board.processor.cores.core.iew.lsqFullEvents,board.processor.cores.core.iew.wbRate,board.processor.cores.core.rename.ROBFullEvents,board.processor.cores.core.rename.IQFullEvents
inorder-queens,0.017969,17968905000.0,14439206.0,632000.0,5e-06,52666.666667,504000.0,1e-06,72000.0,1004000.0,0.882353,66933.333333,0.803566,,,,,,,,,
o3-very-big-queens,0.008344,8343632000.0,14439206.0,1471000.0,1e-05,52535.714286,607000.0,3e-06,67444.444444,1336000.0,0.85,78588.235294,1.730566,2.067097,280485.0,2.111757,4.189031,0.0,0.0,2.009627,,
o3-very-small-queens,0.00879,8789819000.0,14439206.0,1454000.0,1e-05,51928.571429,554000.0,3e-06,69250.0,1340000.0,0.85,78823.529412,1.642719,1.869811,271160.0,1.732079,2.359463,0.0,0.0,1.787471,20140.0,48014.0
o3-base-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-width-04-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-width-08-queens,0.008244,8243683000.0,14439206.0,2320000.0,1e-05,82857.142857,590000.0,3e-06,65555.555556,1483997.0,0.842105,92749.8125,1.751548,2.078609,279849.0,2.096892,4.1141,0.0,0.0,2.021853,,177186.0
o3-width-10-queens,0.008246,8246453000.0,14439206.0,1468000.0,1e-05,52428.571429,535000.0,3e-06,66875.0,1346997.0,0.842105,84187.3125,1.75096,2.081601,279863.0,2.104368,4.147584,0.0,0.0,2.024798,,263648.0
o3-width-12-queens,0.008255,8254664000.0,14439206.0,1471000.0,1e-05,52535.714286,607000.0,3e-06,67444.444444,1405997.0,0.85,82705.705882,1.749218,2.079639,279865.0,2.104392,4.15092,0.0,0.0,2.022915,,277061.0
o3-rob-032-queens,0.008546,8546490000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.68949,1.924139,271835.0,1.782523,2.439288,0.0,0.0,1.835512,44202.0,
o3-rob-064-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-rob-128-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-rob-256-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-rob-512-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-physical-regs-064-queens,0.008462,8461913000.0,14439206.0,4448000.0,1.1e-05,148266.666667,552000.0,3e-06,69000.0,2100000.0,0.85,123529.411765,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-physical-regs-128-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-physical-regs-256-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-physical-regs-512-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-fetchQ-32-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-fetchQ-64-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-fetchQ-128-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-fetchQ-256-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-fetchQ-512-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-instructionQ-32-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-instructionQ-64-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-instructionQ-128-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-instructionQ-256-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-instructionQ-512-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-lsQ-32-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-lsQ-64-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-lsQ-128-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-lsQ-256-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
o3-lsQ-512-queens,0.008462,8461913000.0,14439206.0,1454000.0,1e-05,51928.571429,552000.0,3e-06,69000.0,1340000.0,0.85,78823.529412,1.706376,1.947187,270794.0,1.80366,2.437381,0.0,0.0,1.856645,,
